vendor,product,eol_date,replacement
Palo Alto,Version,End-of-Life Date,
Palo Alto,1.0.2,2024-08-01,
Palo Alto,1.0.1,2024-08-01,
Palo Alto,1.0.0,2024-08-01,
Palo Alto,Version,End-of-Life Date,
Palo Alto,9.1 (Cortex XDR agent),2026-11-22,
Palo Alto,9.0 (Cortex XDR agent),2026-08-23,
Palo Alto,8.9 (Cortex XDR agent),2026-05-10,
Palo Alto,8.8 (Cortex XDR agent),2026-02-18,
Palo Alto,8.7.100 CE (Cortex XDR agent),2027-07-02,
Palo Alto,8.7 (Cortex XDR agent),2025-11-23,
Palo Alto,8.6 (Cortex XDR agent),2025-07-13,
Palo Alto,8.5 (Cortex XDR agent),2025-04-21,
Palo Alto,8.4 (Cortex XDR agent),2025-02-05,
Palo Alto,8.3 CE (Cortex XDR agent),2026-05-21,
Palo Alto,8.3 (Cortex XDR agent),2024-11-25,
Palo Alto,8.2 (Cortex XDR agent),2024-08-12,
Palo Alto,8.1 (Cortex XDR agent),2024-04-09,
Palo Alto,8.0 (Cortex XDR agent),2023-12-19,
Palo Alto,7.9.103 CE (Cortex XDR agent),"December 31, 2026**",
Palo Alto,7.9 CE (Cortex XDR agent),2025-03-19,
Palo Alto,7.9 (Cortex XDR agent),2023-09-11,
Palo Alto,7.8 (Cortex XDR agent),2023-04-24,
Palo Alto,7.7 (Cortex XDR agent),2022-12-27,
Palo Alto,7.6 (Cortex XDR agent),2022-09-05,
Palo Alto,7.5 CE (Cortex XDR Agent),2024-03-06,
Palo Alto,7.5 (Cortex XDR agent),2022-08-22,
Palo Alto,7.4 (Cortex XDR agent),2022-05-24,
Palo Alto,7.3 (Cortex XDR agent),2022-02-01,
Palo Alto,7.2 (Cortex XDR agent),2022-03-07,
Palo Alto,7.1 (Cortex XDR agent),2021-06-04,
Palo Alto,7.0 (Cortex XDR agent),2021-06-04,
Palo Alto,6.1,2022-07-01,
Palo Alto,6.0,2020-02-26,
Palo Alto,5.0,2024-06-01,
Palo Alto,4.2,"March 1, 2022*",
Palo Alto,4.1,2019-09-15,
Palo Alto,4.0,2018-04-05,
Palo Alto,3.4,2019-08-21,
Palo Alto,3.3,2017-02-28,
Palo Alto,3.2,2016-03-31,
Palo Alto,3.1,2015-09-03,
Palo Alto,GlobalProtect App version,End-of-Engineering Date,
Palo Alto,6.3,2028-06-30,
Palo Alto,6.2,2027-06-30,
Palo Alto,6.1***,2025-03-01,
Palo Alto,6.0**,2025-12-31,
Palo Alto,5.3,2022-12-01,
Palo Alto,5.2,2023-08-31,
Palo Alto,5.1,2021-03-12,
Palo Alto,5.0,2020-05-12,
Palo Alto,4.1,2019-06-01,
Palo Alto,4.0,2018-05-02,
Palo Alto,3.1,2017-09-23,
Palo Alto,3.0,2017-05-18,
Palo Alto,Version,End-of-Life Date,
Palo Alto,22.12,2023-12-03,
Palo Alto,22.06,2023-08-20,
Palo Alto,22.01,2023-04-23,
Palo Alto,21.08,2022-12-04,
Palo Alto,21.04,2022-06-09,
Palo Alto,20.12,2021-09-08,
Palo Alto,20.09,2021-04-26,
Palo Alto,20.04,2020-12-21,
Palo Alto,19.11,2020-09-22,
Palo Alto,End-of-Sale Product,End-of-Life Date,
Palo Alto,"LightCyber Magna Detector Virtual Appliance 
(D-150V)",2020-12-31,
Palo Alto,"LightCyber Magna Probe Virtual Appliance 
 (P-50TV)",2020-12-31,
Palo Alto,LightCyber Magna Master Virtual Appliance (M-100V),2020-12-31,
Palo Alto,Platform,N/A,
Palo Alto,Evident.io,2020-07-31,
Palo Alto,Version,End-of-Life Date,
Palo Alto,6.5,2028-02-15,
Palo Alto,6.4,2026-08-31,
Palo Alto,6.3,2027-08-31,
Palo Alto,6.2,2025-05-04,
Palo Alto,6.1,2026-06-30,
Palo Alto,6.0,2023-09-01,
Palo Alto,5.6***,2026-06-30,
Palo Alto,5.5,2023-08-30,
Palo Alto,5.4,2023-03-31,
Palo Alto,5.2,2022-01-31,
Palo Alto,5.1,2022-01-31,
Palo Alto,5.0,2022-01-31,
Palo Alto,4.7,2020-03-15,
Palo Alto,4.6,2020-02-15,
Palo Alto,4.5,2020-02-15,
Palo Alto,4.4,2020-02-15,
Palo Alto,Product,End-of-Life Date,
Palo Alto,BrightCloud,2021-07-31,
Palo Alto,End-of-Sale Product,End-of-Life Date,
Palo Alto,"VM-Series Models 
(VM-50, VM-100, VM-200, VM-300, VM-500, VM-700, VM-1000-HV)",2024-07-31,
